symbol,net_profit_cagr,north_net_inflow,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,north_net_inflow_time,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,eps,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,mapping_quote_current,first_percent,name,pe_ttm,dual_counter_mapping_symbol,total_shares,limitup_days
SZ300609,,,6.8941,11,7.31,False,0.01,2.3361,119893313,21.28,9.38,97.3592,-21.21,2551329701.0,,2556034155.0,0.94,100,-4.563461460505565,130.24,0.0,-4.425188207768782,149653522.0,1.45,1487088000000.0,-0.4,21419333.0,7170900.0,3.19,2.418,17054,5.98,,43.97,汇纳科技,,,120114387.0,0
SZ300419,92.57347552592276,,3.7946,11,6.03,False,0.01,4.2002,367753770,5.1,9.98,36.6634,-13.56,1875544227.0,,1875544227.0,,100,-30.877455322025664,13.54,0.0,-21.616373612182638,223933163.77,0.29,1421856000000.0,-0.44,13378379.0,44668371.0,2.06,4.215,16695,12.15,,44.01,浩丰科技,,,367753770.0,0
SZ300287,,-26515986.6257262,6.4845,11,5.54,False,0.01,3.229,1292194860,3.05,12.46,275.4861,-24.13,3941194323.0,1722355200000.0,4377585114.0,,100,-20.77967058230803,127.46,0.66,-37.10454568362695,766797627.31,0.16,1328025600000.0,-0.22,50056349.0,258529944.0,1.18,3.245,38924,20.01,,4.33,飞利信,,,1435273808.0,0
SZ300300,9.696044364256151,,7.201,11,5.43,False,0.01,5.6782,666748362,1.36,7.75,,-66.08,906777772.0,,906912004.0,,100,-126.83923988545402,-57.86,0.74,-34.94546464294165,52141156.75,0.07,1332086400000.0,-0.49,3314277.0,38957121.0,1.39,5.667,35360,5.84,,24.17,ST峡创,,,666847062.0,0
SZ300846,,11592985.878745861,3.8801,11,4.15,False,0.01,3.9194,356425522,10.05,8.6,28.2,-29.67,3582076496.0,1722355200000.0,5029644608.0,,100,-28.42521216390284,149.16,0.1,6.796578276987297,318839017.5,0.4,1593532800000.0,-0.66,35129519.0,31400900.0,3.8,4.295,31104,8.81,,43.92,首都在线,,,500462150.0,0
SH600271,,10226456.734414691,1.4719,11,3.06,False,0.01,1.1385,1852884638,8.41,5.88,19.4829,-20.6,15582759806.0,1722355200000.0,15582759806.0,0.392,100,-2.4227506069118383,480.6,-0.12,-38.595756400151856,328945415.0,0.25,1057852800000.0,-0.18,40897605.0,39080179.0,2.54,1.133,127399,2.11,,26.43,航天信息,,,1852884638.0,0
SZ300096,,,1.5323,11,2.43,False,0.01,3.4622,359095217,2.53,6.88,,-62.9,908510899.0,,1087900000.0,,100,13.761567352555016,-53.55,0.0,-31.019959038387547,39677531.3,0.06,1280246400000.0,0.09,-988209.0,15650210.0,1.17,3.466,29936,4.36,,47.63,ST易联众,26.807,,430000000.0,0
SZ300150,101.81294471632589,,2.0304,11,2.28,False,0.01,1.0584,514733937,2.69,4.18,,-44.54,1384634291.0,,1573935283.0,,100,-2.0991368481799584,-77.23,-0.37,-13.729687143426961,28353530.0,0.06,1292947200000.0,-0.05,5135133.0,10522900.0,1.6,1.059,14113,2.04,,80.05,世纪瑞尔,,,585106053.0,0
SZ301208,-4.573687267186122,,2.4347,11,2.06,False,0.01,2.2771,43374060,27.71,4.75,53.5644,-13.7,1201895203.0,,3325201663.0,1.173,100,9.634714590866043,-16.04,0.36,-0.49200321212136133,211990682.09,0.56,1657123200000.0,1.16,4910763.0,7839152.0,1.88,2.219,5263,18.07,,22.45,中亦科技,23.916,,120000060.0,0
SH600476,,,3.6774,11,1.8,False,0.01,15.6791,161070000,12.98,3.14,,-25.06,2090688600.0,,2090688600.0,,100,7.571457106729891,137.28,0.0,1.4280302801347844,105524639.0,0.23,1070985600000.0,0.06,1091292.0,8196920.0,1.21,15.639,31985,5.09,,131.47,湘邮科技,214.861,,161070000.0,0
SZ300167,-37.95959314690591,,1.2691,11,1.76,False,0.01,,343262500,1.73,5.29,18.6211,-42.14,593844125.0,,623751500.0,,100,-7966.7523246812525,-74.86,0.0,41.76087341856039,21581657.0,0.03,1295884800000.0,-0.53,-1312956.0,12480600.0,1.27,,17118,3.64,,-14.2,*ST迪威,,,360550000.0,0
SZ300532,65.07254345403229,4173504.8492708993,1.1941,11,1.71,False,0.01,2.2422,295182682,11.93,2.39,11.9243,-25.86,3521529396.0,1722355200000.0,3701059421.0,5.029,100,24.269891796823988,121.04,0.0,26.59857308163225,70015963.0,0.2,1471449600000.0,1.27,2223698.0,5909100.0,1.74,2.123,17469,2.0,,44.0,今天国际,9.395,,310231301.0,0
SZ300020,,,1.5488,11,1.49,False,0.01,0.3842,766639584,2.04,4.98,,-75.42,1563944751.0,,1621143067.0,,100,-7.2945539778637745,-54.78,-0.49,-22.662649329372787,99923262.74,0.03,1256832000000.0,-0.36,-1273448.0,48840986.0,1.11,0.384,36222,6.37,,82.0,*ST银江,,,794677974.0,0
SH603636,9.511008409613165,629817.5698011937,2.8602,11,1.38,False,0.01,1.7258,580360523,8.07,4.02,,-36.65,4683509421.0,1722355200000.0,4683509421.0,0.62,100,0.3993303664266664,120.53,0.0,-10.632957156998192,151222803.0,0.11,1419868800000.0,0.02,8881909.0,18813920.0,1.0,1.813,41104,3.24,,44.01,南威软件,442.619,,580360523.0,0
SH600536,,36508300.79769117,4.2867,11,1.29,False,0.01,12.1567,842954830,31.3,4.05,,-13.68,26384486179.0,1722355200000.0,26610333426.0,0.051,100,-6.4281562839861435,818.86,-0.03,-27.91273590678499,746123799.0,0.4,1021564800000.0,-0.17,17095775.0,23915629.0,1.35,12.275,154545,2.84,,174.96,中国软件,,,850170397.0,0
SZ301178,-32.79863069456067,,3.9266,11,1.26,False,0.01,1.8493,43598856,23.39,5.37,,-27.54,1019777242.0,,1572668752.0,0.428,100,0.10648025194243675,-59.36,0.21,-10.858889420146767,131095012.18,0.29,1636646400000.0,0.01,-2182734.0,5694579.0,1.04,1.949,4687,13.06,,62.15,天亿马,1797.601,,67236800.0,0
SZ300044,,,8.2462,11,1.24,False,0.01,5.8376,763773438,4.9,4.96,,-15.66,3742489846.0,,3742959217.0,,100,-18.93055608472323,24.06,0.2,-22.36256558060529,353163900.84,0.06,1263916800000.0,-0.18,-1186475.0,71620572.0,0.88,5.833,51959,9.38,,29.09,赛为智能,,,763869228.0,0
SZ000555,,5746678.331926123,0.7403,11,1.24,False,0.01,1.4345,972312287,9.0,2.14,191.5069,-20.06,8750810583.0,1722355200000.0,8781969933.0,0.356,100,2.274816836344977,337.19,0.0,-1.4619330913409612,104976958.68,0.11,765734400000.0,0.14,3271522.0,11703677.0,1.31,1.426,59697,1.2,,106.67,神州信息,63.067,,975774437.0,0
SH603003,,,1.0213,11,1.07,False,0.01,0.5105,402443494,4.72,2.57,,-65.82,1899533292.0,,1899533292.0,,100,1.492567542607447,-61.79,-0.21,-51.1428074116554,36236560.0,0.05,1345132800000.0,0.14,2007604.0,7696000.0,0.97,0.51,22211,1.91,,64.62,*ST龙宇,34.603,,402443494.0,0
SZ002474,,,6.6177,11,0.91,False,0.01,1.8774,529928120,4.42,2.05,40.666,-32.83,2342282290.0,,2750124000.0,,100,-9.163092633282824,-42.19,0.0,-1.4005558563621845,52699226.0,0.04,1284480000000.0,-0.23,6855183.0,11983800.0,1.06,1.881,43550,2.26,,25.97,榕基软件,,,622200000.0,0
SZ300448,,,8.6335,11,0.91,False,0.01,2.2683,491667210,4.43,5.47,24.0342,-17.3,2178085740.0,,2996970660.0,0.406,100,-4.20145293503899,83.6,-0.23,-19.041528681702612,150131489.64,0.04,1429804800000.0,-0.09,2048888.0,34160890.0,1.29,2.249,15954,6.95,,44.02,浩云科技,,,676517079.0,0
SH600850,8.389975657146165,9936332.861372536,1.2219,11,0.85,False,0.01,2.8707,608578735,17.76,1.93,,-16.33,10808358334.0,1722355200000.0,12248818174.0,2.534,100,11.397773263734836,537.77,0.0,2.2416168947963833,83329854.0,0.15,764438400000.0,0.72,3362440.0,4708485.0,1.56,2.675,27901,0.77,,661.33,电科数字,24.599,,689685708.0,0
SZ300231,-21.04020484811745,,1.6481,11,0.82,False,0.01,2.1151,349921500,7.42,3.67,7.405,-26.07,2596417530.0,,3109091708.0,2.695,100,6.303284268734844,227.56,0.13,-12.095512616045834,77575379.64,0.06,1308067200000.0,0.24,8956816.0,10437162.0,1.64,2.0,29134,2.98,,28.29,银信科技,30.575,,419015055.0,0
SZ300440,-9.32005267762821,,1.9484,11,0.77,False,0.01,1.5004,443305965,5.23,2.7,12.7832,-29.23,2318490197.0,,2325848990.0,0.86,100,7.204921227616203,-22.6,0.0,17.1538372730925,27142531.0,0.04,1429718400000.0,0.23,1853881.0,5185100.0,1.3,1.512,16138,1.17,,44.01,运达科技,22.393,,444713000.0,0
SZ002642,,-4165822.41409462,1.6107,11,0.71,False,0.01,3.3314,604837025,5.68,1.77,12.6287,-33.8,3435474302.0,1722355200000.0,3757776178.0,,100,-27.27703910498213,-12.32,0.18,-15.69986812257782,96346985.09,0.04,1324310400000.0,-0.54,8185909.0,17015580.0,1.27,3.322,73863,2.81,,15.88,荣联科技,,,661580313.0,0
SZ002771,17.144379011564315,,7.1892,11,0.64,False,0.01,4.9222,170823380,15.81,1.65,,-44.49,2700717638.0,,3316370421.0,0.082,100,-3.869217087626896,154.54,0.06,-5.405631365850749,106953290.0,0.1,1435507200000.0,-0.13,5125376.0,6771280.0,1.32,4.925,55759,3.96,,43.98,真视通,,,209764100.0,0
SZ002649,-45.981045139422996,2564001.9864435326,0.7072,11,0.5,False,0.01,1.146,548644370,8.04,3.13,24.5687,-34.24,4411100735.0,1722355200000.0,4706170037.0,0.323,100,4.278152564202404,121.28,-0.12,7.246872033814622,94989494.0,0.04,1325779200000.0,0.29,14598076.0,11820095.0,1.34,1.174,147613,2.15,,-9.41,博彦科技,27.555,,585344532.0,0
