symbol,current,amount,pcf
SZ300528,7.36,178662465.0,7.198296930808572
SZ301016,15.29,115252017.5,218.12411311234817
SZ301213,30.83,87382901.37,
SZ301488,65.4,272060718.2,113.99424911176561
SZ300218,17.64,450148477.4,12.602876426664677
SZ301369,50.11,478987618.16,241.55214527544402
SZ300836,40.79,153672535.55,18.232804091963008
SZ300391,5.64,454977333.7,
SZ002193,3.15,13483890.0,296.2703544773211
SH600626,2.94,97744993.0,25.791380207352155
SZ000735,4.91,246040742.76,13.567939076578341
SZ002905,6.34,31044509.22,6.381805105962237
SH603790,11.4,155556586.0,28.269863170627197
SH603577,7.34,96057331.0,14.326618632934432
SZ000004,10.96,148037012.58,
SH600650,11.41,52579573.0,25.549194674892032
SZ002383,5.93,104671283.76,16.57790276602744
SH603150,27.69,141715400.0,26.34080107384382
SH603004,18.13,135994320.0,19.72816389777131
SZ002829,19.12,660591645.9,103.82255996267357
SH603196,7.36,59714801.0,12.011329554921728
SZ002253,11.22,295084806.0,47.94754378468208
SZ002399,9.68,16158562.64,9.515585752807718
SH600084,4.84,10968094.0,
SH601028,14.85,530550819.0,
SZ002995,15.52,215696560.62,36.42231660444233
SZ002982,15.96,36110212.4,18.94128997254753
SH603055,11.79,338038169.0,51.77219591479488
SH603958,8.5,69542037.0,19.401766891947997
SZ002114,4.97,140648027.54,31.878693464514313
SH603223,6.85,52923708.0,20.10773193867795
SZ002098,6.09,8273265.0,8.691484198928448
SZ002678,4.43,54500859.69,
SZ300807,40.71,814385735.5,
SZ300713,17.89,663039712.19,2269.297984560961
SZ300546,14.79,542501490.37,
SZ301070,38.4,41584756.0,189.83406981434692
SZ301548,54.07,113008687.0,59.0870495148396
SH600399,6.51,734032891.0,26.968349961784593
SZ300967,10.38,127618576.09,57.43253386369512
SZ002869,30.64,1368047972.5,
SZ300329,4.3,122999913.0,
SZ300120,7.77,1204104932.12,350.3348595629075
SZ300302,9.9,345574645.53,
SH603477,25.19,350781933.0,
SZ000702,4.37,149279455.66,524.9620282632361
SH600711,5.73,2572440015.0,16.6612701613561
SZ300630,8.45,400476135.06,
SZ002726,6.69,155378358.37,
SZ300582,10.98,593917587.32,
SZ300862,22.45,125456399.36,49.682381606710074
SH688049,23.62,233066954.0,25.640058358302447
SH688608,166.79,688214598.0,54.48631922398601
SZ300321,17.65,88318682.9,153.75143253933118
SZ300117,1.24,39580908.2,37.187775616095095
SZ300989,12.25,142703503.26,958.6974188594969
SZ002418,1.87,166137513.45,12.923031557572584
SH900934,1.495,1952637.0,0.3286100453387985
SZ300717,14.79,76954654.76,23.79818111170548
SH688717,57.37,381544498.0,34.70582156110636
SZ301567,46.24,302932380.06,69.96947973612534
SH688089,14.1,153577723.0,20.186445146519667
SZ300923,17.63,86129252.1,
SH688127,20.08,307701721.0,26.644157635803833
SZ002468,8.58,373982900.88,3.717123737761796
SZ301022,21.25,153555634.6,
SZ300114,50.88,1586285509.78,175.05156211619243
SZ301161,16.03,98486396.45,144.03000837820224
SH600188,15.66,886829305.0,12.080174952311019
SH600611,4.45,1744965619.0,
SZ300139,13.66,984366213.45,105.43785565329773
SH600843,7.19,437112952.0,81.38946746719252
SZ002134,9.18,223773952.0,44.54429793632671
SZ301117,24.49,115790167.32,
SH688072,124.0,496890564.0,
SZ300990,29.32,142190182.21,
SH688120,135.09,345915857.0,42.651706075918945
SZ000892,2.57,92916538.71,56.82067416305463
SH603648,8.41,121672100.0,8.619206210009494
SZ301529,34.06,112240842.97,18.853365542827557
SZ300182,3.86,587258020.85,7.749436031513663
SZ002741,12.0,392117821.32,28.73866718138643
SZ002875,10.64,125015963.85,
SH603377,1.16,31122590.0,2.9323382384609156
SZ002656,0.98,4941600.17,41.78364659349721
SZ002796,7.94,149319794.25,
SZ301580,67.95,312052141.35,57.75654413164001
SZ000809,2.01,1184694.0,
SH600165,2.21,74274981.0,23.054507308313067
SZ300348,8.08,347295926.0,188.92202317889607
SZ002052,1.23,15919812.77,
SZ000584,1.44,21305086.95,5.790655603453059
SZ002742,1.85,5056992.0,
