symbol,timestamp,current,chg,percent,trade_volume,side,level,trade_session,trade_type,trade_unique_id,bid_appl_seq_num,offer_appl_seq_num,trade_type_v2
SZ300044,1721199396000,4.43,0.19,4.48,20600,1,1,,,105681211,,,
SZ300044,1721199399000,4.43,0.19,4.48,23900,-1,1,,,105705111,,,
SZ300044,1721199402000,4.43,0.19,4.48,95300,-1,1,,,105800411,,,
SZ300044,1721199405000,4.44,0.2,4.72,52300,1,1,,,105852711,,,
SZ300044,1721199408000,4.44,0.2,4.72,36600,1,1,,,105889311,,,
SZ300044,1721199411000,4.44,0.2,4.72,34400,1,1,,,105923711,,,
SZ300044,1721199414000,4.44,0.2,4.72,83000,1,1,,,106006711,,,
SZ300044,1721199417000,4.44,0.2,4.72,43600,1,1,,,106050311,,,
SZ300044,1721199420000,4.44,0.2,4.72,40000,1,1,,,106090311,,,
SZ300044,1721199600000,4.43,0.19,4.48,949800,-1,1,,,107040111,,,
SZ300300,1721199402000,1.19,0.03,2.59,62700,-1,1,,,28053264,,,
SZ300300,1721199405000,1.19,0.03,2.59,200,-1,1,,,28053464,,,
SZ300300,1721199408000,1.19,0.03,2.59,33100,-1,1,,,28086564,,,
SZ300300,1721199411000,1.2,0.04,3.45,14400,1,1,,,28100964,,,
SZ300300,1721199417000,1.2,0.04,3.45,72500,1,1,,,28173464,,,
SZ300300,1721199600000,1.2,0.04,3.45,2586300,-1,1,,,30759764,,,
SZ300300,1721199900000,1.2,0.04,3.45,800,0,1,3.0,,800,,,
SZ300300,1721199975000,1.2,0.04,3.45,700,0,1,3.0,,1500,,,
SZ300300,1721200155000,1.2,0.04,3.45,500,0,1,3.0,,2000,,,
SZ300300,1721200920000,1.2,0.04,3.45,7400,0,1,3.0,,9400,,,
SZ000034,1721199396000,24.5,0.75,3.16,2300,1,1,,,50901926,,,
SZ000034,1721199399000,24.5,0.75,3.16,11900,1,1,,,50913826,,,
SZ000034,1721199402000,24.5,0.75,3.16,8200,1,1,,,50922026,,,
SZ000034,1721199405000,24.5,0.75,3.16,14300,1,1,,,50936326,,,
SZ000034,1721199408000,24.5,0.75,3.16,11200,1,1,,,50947526,,,
SZ000034,1721199411000,24.5,0.75,3.16,4100,1,1,,,50951626,,,
SZ000034,1721199414000,24.49,0.74,3.12,15900,-1,1,,,50967526,,,
SZ000034,1721199417000,24.49,0.74,3.12,24800,-1,1,,,50992326,,,
SZ000034,1721199420000,24.48,0.73,3.07,4600,-1,1,,,50996926,,,
SZ000034,1721199600000,24.48,0.73,3.07,390500,1,1,,,51387426,,,
SZ002232,1721199396000,13.69,0.36,2.7,18600,-1,1,,,41232063,,,
SZ002232,1721199399000,13.69,0.36,2.7,23900,-1,1,,,41255963,,,
SZ002232,1721199402000,13.7,0.37,2.78,10500,1,1,,,41266463,,,
SZ002232,1721199405000,13.69,0.36,2.7,6500,0,1,,,41272963,,,
SZ002232,1721199408000,13.69,0.36,2.7,12100,1,1,,,41285063,,,
SZ002232,1721199411000,13.69,0.36,2.7,10400,1,1,,,41295463,,,
SZ002232,1721199414000,13.69,0.36,2.7,22300,1,1,,,41317763,,,
SZ002232,1721199417000,13.69,0.36,2.7,10400,-1,1,,,41328163,,,
SZ002232,1721199420000,13.69,0.36,2.7,7800,-1,1,,,41335963,,,
SZ002232,1721199600000,13.69,0.36,2.7,408400,-1,1,,,41744363,,,
SZ000938,1721199396000,24.58,0.39,1.61,55000,-1,1,,,183836161,,,
SZ000938,1721199399000,24.59,0.4,1.65,16100,1,1,,,183852261,,,
SZ000938,1721199402000,24.58,0.39,1.61,58400,-1,1,,,183910661,,,
SZ000938,1721199405000,24.59,0.4,1.65,64500,1,1,,,183975161,,,
SZ000938,1721199408000,24.58,0.39,1.61,52300,-1,1,,,184027461,,,
SZ000938,1721199411000,24.59,0.4,1.65,41600,0,1,,,184069061,,,
SZ000938,1721199414000,24.58,0.39,1.61,19500,-1,1,,,184088561,,,
SZ000938,1721199417000,24.59,0.4,1.65,47400,1,1,,,184135961,,,
